Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шевченко,Надія,Данилівна,female,1972-07-03,Бухгалтер,селище Гайворон,"узвіз Чапаєва, буд. 862, Гірське, 71790",531-75-13,orysiaiashchenko@example.net
Арсенич,Стефан,Григорійович,male,2008-11-24,Дизайнер,селище Бар,"вулиця Цимлянська, буд. 7, Мерефа, 90134",+380 43 121 68 77,demydhavrysh@example.com
Кибкало,Валентин,Борисович,male,1980-12-05,Фінансовий аналітик,село Суми,"узвіз Серединський, буд. 759 кв. 9, Новгород-Сіверський, 36912",+380 96 916-99-19,romanieremenko@example.net
Матвієнко,Ірина,Іванівна,female,1965-10-10,Менеджер з закупівель,селище Берестечко,"проспект Аеродромна, буд. 210, Тальне, 10928",+380 15 650 96 96,fedir80@example.org
Дуплій,Зорян,Борисович,male,1950-08-13,Менеджер з маркетингу,місто Вилкове,"вулиця Романа Кармена, буд. 9 кв. 813, Українськ, 26566",+380 (50) 438-30-14,ielysei26@example.net
Гресь,Іван,Вікторович,male,1952-09-23,Менеджер з продажу,місто Токмак,"проспект Виїзна, буд. 2 кв. 830, Сарни, 40208",+380 61 826-83-00,tereza30@example.net
Ващук,Марина,Леонідівна,female,1998-05-01,Менеджер з маркетингу,місто Христинівка,"площа Композитора Ніщинського, буд. 3, Кіцмань, 49209",065 204 73 58,drobiazkohalyna@example.com
Тарасенко,Віра,Тарасівна,female,1995-02-18,Тестувальник,місто Решетилівка,"сквер Нікітіна, буд. 69 кв. 956, Білозерське, 16405",367 77 16,opetliura@example.org
Засядько,Василь,Володимирович,male,1965-11-09,Менеджер з маркетингу,село Хмельницький,"набережна Академіка Сахарова, буд. 103, Кам'янка-Дніпровська, 27878",+380 05 414-35-52,bazavluchenkoaaron@example.org
Ванченко,Панас,Максимович,male,1974-11-19,Менеджер з закупівель,хутір Харків,"вулиця Ланжеронівська, буд. 11, Рені, 08521",034 716 43 02,ykovalenko@example.com
Петрик,Петро,Олегович,male,1961-10-20,Офіс-менеджер,село Амвросіївка,"вулиця 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 8, Перемишляни, 91226",+380 58 920 71 01,trokhymruban@example.net
Стус,Марʼяна,Давидівна,female,2007-09-10,Кадровий менеджер,селище Олевськ,"площа Моторний 1-й, буд. 80 кв. 4, Новодністровськ, 64449",+380 40 289 94 08,iosyptereshchuk@example.org
Пустовіт,Михайло,Мар'янович,male,2002-08-23,Менеджер з закупівель,місто Кролевець,"проспект Михайла Божія, буд. 2, Рожище, 29212",013 22 67,marusiadrozdenko@example.com
Тичина,Оксенія,Сергіївна,female,1976-12-11,Менеджер з закупівель,хутір Слов'янськ,"провулок Володі Дубініна, буд. 8 кв. 854, Середина-Буда, 47380",+380 (87) 001-22-50,danylenkoaaron@example.net
Масляк,Надія,Петрівна,female,2000-07-24,Тестувальник,селище Костянтинівка,"проспект Соляний 1-й, буд. 253, Ірміно, 53536",322-73-28,varfolomii80@example.org
Даценко,Андрій,Ігорович,male,1984-02-09,Менеджер з продажу,місто Корець,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 26 кв. 601, Хорол , 31611",+380 (42) 143-77-64,orkhyp43@example.org
Гаєвський,Юхим,Тимофійович,male,1960-11-25,Аналітик даних,селище Шахтарськ,"парк Красива, буд. 678 кв. 0, Радомишль, 16591",084 714-71-50,matviienkoarsen@example.org
Ватаманюк,Богуслав,Вікторович,male,2006-04-11,Фінансовий аналітик,селище Угнів,"сквер Бітумна, буд. 923 кв. 7, Славутич, 07720",+380 (95) 879-46-91,vvashchenko-zakharchenko@example.com
Теличенко,Альбіна,Геннадіївна,female,1958-12-04,Фінансовий аналітик,село Покровськ,"вулиця Лазурний 1-й, буд. 516 кв. 6, Остер , 56891",+380 97 327-21-44,mtovstolis@example.com
Данилюк,Святослава,Григоріївна,female,1990-08-19,Копірайтер,хутір Заставна,"шосе Іванова Ігоря, буд. 7, Білогірськ, 69350",046-07-28,qoliinyk@example.com
Шахрай,Макар,Геннадійович,male,1963-07-23,Дизайнер,село Миколаїв,"площа Басейний 3-й, буд. 95, Чорнобиль, 26341",050 444 27 39,makohonalbert@example.com
Адаменко,Едита,Леонідівна,female,2007-02-08,PR-менеджер,хутір Батурин,"провулок Восьмого березня, буд. 94 кв. 8, Коломия, 44375",078 811-06-18,illia85@example.com
Якимчук,Ігор,Вікторович,male,1941-04-28,Архітектор,селище Переяслав,"набережна Ламаний, буд. 210 кв. 8, Авдіївка, 64695",000 220-43-80,rsvystun@example.org
Наливайко,Ірина,Павлівна,female,1959-10-22,Аудитор,село Гребінка,"сквер Новаторів, буд. 385 кв. 99, Географія Вільнянська, 84397",+380 42 459-98-20,albina76@example.org
Рудик,Венедикт,Васильович,male,1945-11-05,Бухгалтер,село Деражня,"проспект Наливна, буд. 048, Канів, 73895",067 884 31 68,illia00@example.org
Журавель,Мартин,Геннадійович,male,1993-02-22,Менеджер з маркетингу,хутір Мена ,"площа Деревообробний 2-й, буд. 931 кв. 31, Гуляйполе, 67897",+380 (02) 016-88-95,friabovil@example.org
Бевзенко,Ростислав,Олексійович,male,1989-07-14,Менеджер з закупівель,село Переяслав,"узвіз Чорноморський 12-й, буд. 43 кв. 2, Яготин, 49126",+380 21 063 52 61,tytarenkodavyd@example.com
Рудько,Геннадій,Кирилович,male,1994-05-08,Фінансовий аналітик,село Карлівка,"парк Іванова 2-й, буд. 4, Південне , 70540",+380 43 961-85-64,kamilla59@example.net
Романчук,Ірена,Олексіївна,female,2001-05-07,Менеджер з закупівель,село Лисичанськ,"вулиця Іванова, буд. 49 кв. 978, Кам'янка-Дніпровська, 31739",+380 36 416 94 80,petrohavryshkevych@example.org
Свистун,Кирило,Романович,male,1954-01-28,Менеджер з продукту,селище Бунге ,"проспект Будівельна, буд. 03, Джанкой, 80151",431-97-27,hennadiitkach@example.org
Щириця,Левко,Іванович,male,1962-06-02,Фінансовий аналітик,селище Дубровиця,"сквер Моторний 3-й, буд. 5, Знам'янка, 17454",+380 49 830-06-42,andrii68@example.com
Калениченко,Розалія,Григоріївна,female,1953-06-22,Менеджер з закупівель,селище Шепетівка,"вулиця Виноградна 3-тя, буд. 591 кв. 052, Рожище, 24592",+380 76 300 44 16,levkoiemets@example.com
Ковалюк,Федір,Тимофійович,male,1997-12-15,Менеджер з продукту,хутір Гайсин,"проспект Індійська, буд. 00 кв. 648, Благовіщенське, 52404",+380 36 363-43-53,dankevychviacheslav@example.net
Семенченко,Тетяна,Романівна,female,1958-09-15,Менеджер з продажу,хутір Світловодськ,"сквер Маршала Бабаджаняна, буд. 60, Зимогір'я, 69069",672-05-18,shukhevychruslan@example.org
Василевич,Юхим,Павлович,male,2008-12-17,Менеджер з закупівель,хутір Слов'янськ,"набережна Хімічний 2-й, буд. 037 кв. 1, Ватутіне, 11380",+380 (36) 828-20-26,vasylechkoonysym@example.net
Дергач,Павло,Іванович,male,1989-08-15,Системний адміністратор,селище Славутич,"узвіз 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 9, Горохів, 66004",052 473 50 80,nalyvaikoemiliia@example.net
Демʼянчук,Хома,Петрович,male,1943-04-09,Інженер з якості,селище Бахмач,"вулиця Історія Футболу, буд. 1, Новодністровськ, 14264",+380 23 648 84 95,gchaika@example.com
Наливайко,Станіслав,Петрович,male,1971-01-19,Менеджер з продукту,село Лисичанськ,"площа Шишкіна 1-й, буд. 175, Корець, 20764",+380 (31) 106-87-49,drobakhavalentyn@example.org
Артеменко,Орина,Зеновіївна,female,2002-12-03,Менеджер з продажу,село Феодосія,"провулок 4-та Суворовська, буд. 2 кв. 653, Марганець , 99275",+380 30 696-10-70,petrenkobohuslava@example.net
Слюсар,Зиновій,Кирилович,male,1966-12-29,Архітектор,селище Васильків,"проспект 8-ма Лінія Дачі Ковалевського, буд. 21, Снятин, 34533",561 68 57,sliusarvalerii@example.com
Ґжицький,Сергій,Вікторович,male,1960-02-17,Аналітик даних,місто Калинівка ,"шосе Троїцька, буд. 1 кв. 1, Бориспіль, 73678",727 63 41,virachumachenko@example.org
Гаврилів,Галина,Григоріївна,female,1941-06-19,Аудитор,місто Ізмаїл,"вулиця Лучиста, буд. 16 кв. 47, Бахмут, 75092",+380 (77) 442-24-82,ihordatsenko@example.org
Гайдабура,Лариса,Сергіївна,female,1997-06-23,Дизайнер,село Козятин,"провулок Москвіна, буд. 54, Острог, 28640",215-12-32,oleh18@example.net
Гайденко,Юстим,Станіславович,male,2007-11-13,Системний адміністратор,село Гірник ,"провулок Першотравневий 3-й, буд. 80 кв. 5, Вільногірськ, 69006",+380 (41) 506-16-42,vernyhoraoleh@example.com
Матяш,Ярослав,Костянтинович,male,1977-10-05,PR-менеджер,селище Вовчанськ,"площа 3-тя Суворовська, буд. 5 кв. 4, Мар'їнка, 16365",060 967-64-43,danbezditko@example.net
Скиба,Зиновій,Федорович,male,1938-07-08,Менеджер з продажу,хутір Вашківці,"проспект Студентський 2-й, буд. 572 кв. 304, Ніжин, 79976",+380 (35) 788-26-90,vasylevychveniiamyn@example.org
Устенко,Софія,Костянтинівна,female,2007-09-15,Аудитор,хутір Голубівка,"узвіз Лінія 35-та, буд. 83, Кіцмань, 82932",331-22-63,iryna64@example.org
Онуфрієнко,Левко,Михайлович,male,1944-05-23,Офіс-менеджер,село Бобровиця,"шосе Лінія 22-га, буд. 1 кв. 73, Лиман , 16185",+380 15 940-62-77,erikaovcharenko@example.org
Єрошенко,Валерій,Данилович,male,2004-11-07,Дизайнер,місто Корюківка,"проспект Дружний, буд. 6, Антрацит , 25716",051 521-49-86,nadiiazhurba@example.org
Рябовіл,Ілля,Олексійович,male,1952-02-11,Архітектор,хутір Перемишляни,"сквер Діхтієвського Віктора, буд. 7 кв. 02, Петрово-Красносілля, 73728",+380 03 444-92-15,ovcharenkoedyta@example.net
Гаврилів,Гордій,Васильович,male,1979-07-12,Аудитор,місто Бунге ,"вулиця Івахненка Петра, буд. 9, Барвінкове, 21043",083 130-78-80,cbazylevskyi@example.org
Дубенко,Гліб,Васильович,male,1943-08-18,Копірайтер,хутір Коростишів,"вулиця Бреуса, буд. 1 кв. 829, Сіверськ, 11093",+380 31 403-14-17,zshynkarenko@example.org
Левченко,Софія,Марківна,female,1977-10-22,Менеджер з закупівель,хутір Боярка,"провулок Травневий, буд. 86, Сторожинець, 63382",+380 88 410-52-90,nehodaodarka@example.com
Швайка,Артем,Григорійович,male,1974-11-05,Аудитор,хутір Новгород-Сіверський,"вулиця Черняховського, буд. 890 кв. 6, Долинська, 44766",+380 89 721 59 42,onysym71@example.com
Кибкало,Віолетта,Мар'янівна,female,1998-02-12,Аудитор,місто Севастополь,"узвіз Отрада, буд. 83, Моспине, 73229",+380 89 063 00 58,dbatiuk@example.org
Архипенко,Назар,Костянтинович,male,1975-02-27,Копірайтер,хутір Сквира,"сквер Моторна, буд. 05, Вознесенівка, 62347",054 37 85,viktordavydenko@example.com
Ткаченко,Алевтин,Олександрович,male,1950-11-05,Офіс-менеджер,селище Борзна,"узвіз Чорноморський 1-й, буд. 47 кв. 3, Іллінці, 92350",666-01-40,tdzhun@example.net
Мазепа,Демʼян,Петрович,male,1966-02-21,Копірайтер,селище Краматорськ,"шосе Садова 4-та, буд. 81 кв. 33, Богуслав, 69872",147 44 03,ielysavetashcherban@example.net
Жук,Віолетта,Петрівна,female,1985-03-15,Менеджер з продукту,хутір Золоте,"вулиця Західний 3-й, буд. 9, Виноградів, 48068",+380 (84) 918-83-93,nazarbabko@example.org
Гавриленко,Христина,Борисівна,female,1998-01-04,Асистент керівника,хутір Новоселиця,"сквер Теплична, буд. 714 кв. 902, Кам'янка-Бузька, 62880",+380 23 308-70-67,bohuslav10@example.net
Франко,Ольга,Денисівна,female,1946-04-02,Копірайтер,хутір Новогродівка,"проспект Аграрна, буд. 01 кв. 6, Світлодарськ, 40699",+380 95 701 62 68,marusiasirchenko@example.net
Гуцуляк,Любов,Володимирівна,female,1975-01-07,Менеджер з продажу,хутір Сокаль,"провулок Український 3-й, буд. 020 кв. 76, Антрацит , 90086",+380 50 282 83 56,kilchenko@example.net
Таран,Валерій,Ігорович,male,1945-10-03,Інженер з якості,хутір Нове Давидково,"сквер Вєтрогонова, буд. 263 кв. 176, Бахмач, 70234",065 975 78 03,kovpakalbina@example.com
Іванченко,Оксана,Ігорівна,female,1959-02-21,Офіс-менеджер,місто Нова Одеса,"проспект Павлова, буд. 8 кв. 88, Винники, 38452",037 732 09 59,rbashpolchenko@example.net
Вишняк,Вадим,Захарович,male,1953-07-22,Системний адміністратор,місто Ізяслав,"шосе Іванова 1-й, буд. 6 кв. 329, Борзна, 02501",+380 52 441 03 71,liudmyla82@example.com
Венгринович,Пантелеймон,Борисович,male,1942-04-18,Менеджер з закупівель,село Київ,"провулок Студентський 4-й, буд. 1 кв. 62, Зіньків, 30374",+380 (57) 881-03-21,danylo19@example.net
Чекалюк,Ірена,Василівна,female,1972-03-27,Менеджер з продукту,селище Люботин,"набережна Академіка Філатова, буд. 4 кв. 19, Попасна, 63685",+380 96 069-47-68,babkoiarema@example.com
Ісаєнко,Пармен,Вікторович,male,1978-11-12,Менеджер з маркетингу,селище Одеса,"площа Байкал тупик, буд. 02, Долина , 67371",+380 97 774-18-39,leontii71@example.com
Пустовіт,Гаврило,Захарович,male,1946-05-31,Архітектор,селище Охтирка,"узвіз Олександра Тимошенка, буд. 0 кв. 3, Стрий, 48805",030 545 29 75,ievabaidak@example.net
Килимник,Мартин,Андрійович,male,1971-04-13,Менеджер з маркетингу,хутір Бершадь,"парк Пісочна, буд. 73 кв. 9, Помічна, 30778",017 904-91-00,samoilenkooles@example.net
Влох,Єлисей,Павлович,male,1974-12-25,Аналітик даних,село Конотоп,"провулок Романа Кармена, буд. 6 кв. 4, Барвінкове, 21799",+380 (75) 527-04-57,ivanatamanchuk@example.net
Бездітко,Варфоломій,Максимович,male,1946-06-04,Програміст,хутір Вознесенськ,"провулок Іванівський переїзд, буд. 519 кв. 439, Гадяч, 98920",+380 (78) 147-65-76,lbabii@example.org
Павленко,Семен,Вікторович,male,1971-12-11,Програміст,село Болград,"вулиця Ковиловий, буд. 994, Васильків, 58424",021 275 56 36,onehoda@example.org
Комар,Оксенія,Володимирівна,female,1988-04-14,Кадровий менеджер,село Щастя ,"парк Яхненка Семена, буд. 6, Любомль, 18848",+380 92 970 52 36,wsvystun@example.net
Гаврилець,Гаврило,Вікторович,male,2000-12-15,Системний адміністратор,село Сторожинець,"узвіз 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Володимир-Волинський, 15570",097 701 76 60,svitlanachumachenko@example.com
Євтушок,Володимира,Романівна,female,1976-06-15,Копірайтер,хутір Чортків,"парк Торгова, буд. 010 кв. 92, Васильків, 51119",+380 10 585-49-75,serhiicharnysh@example.org
Андрієнко,Тарас,Федорович,male,2005-06-30,Менеджер з маркетингу,хутір Житомир,"набережна Міцкевича, буд. 72 кв. 3, Ізюм, 25518",+380 83 133-63-29,myroslavbhydenko@example.net
Шовкопляс,Остап,Мар'янович,male,1947-05-18,Асистент керівника,місто Берестечко,"сквер Академіка Вільямса, буд. 3, Андрушівка, 61445",+380 74 167-96-05,makarenkotrokhym@example.com
Симоненко,Леопольд,Захарович,male,1964-10-26,Копірайтер,село Мостиська,"набережна Мацієвської, буд. 552 кв. 0, Кагарлик, 27854",+380 37 531-59-73,daryna57@example.org
Лукаш,Аніта,Борисівна,female,1939-10-20,Менеджер з закупівель,місто Світлодарськ,"узвіз Проточний, буд. 0 кв. 5, Золоте, 80954",+380 84 942 67 73,xiesypenko@example.org
Затула,Пармен,Романович,male,2002-11-02,Менеджер з продукту,місто Макіївка,"сквер Іподромний, буд. 54 кв. 7, Перемишляни, 85438",+380 67 507 10 03,hupaloarsen@example.org
Заруба,Юстина,Мар'янівна,female,1965-04-12,Менеджер з закупівель,хутір Апостолове,"сквер Грецький, буд. 10 кв. 7, Снятин, 66597",025 857 54 33,bairakvenedykt@example.net
Зарудний,Антон,Романович,male,1977-09-25,HR-менеджер,місто Люботин,"проспект Траса Здоров'я, буд. 382 кв. 2, Бережани, 57013",431-16-64,xatroshchenko@example.org
Медведенко,Світлана,Леонідівна,female,1976-11-05,Системний адміністратор,село Рожище,"провулок Андрійця Олега, буд. 4 кв. 27, Винники, 22126",+380 93 130-73-94,orkhyp26@example.net
Теличенко,Левко,Марківич,male,1970-12-11,Офіс-менеджер,хутір Ірміно,"проспект Пастера, буд. 7 кв. 197, Почаїв, 13318",004 079-84-41,drobakhalarysa@example.org
Колесниченко,Григорій,Олександрович,male,1978-02-21,Інженер з якості,місто Донецьк,"площа Зої Космодем’янської, буд. 59 кв. 68, Джанкой, 11714",+380 (34) 742-83-52,cpetryk@example.org
Ільєнко,Вікторія,Остапівна,female,1939-08-07,Копірайтер,село Новогродівка,"вулиця Тупиковий 1-й, буд. 818 кв. 426, Буча, 28124",096 378 53 21,ivanenkoroman@example.org
Шило,Алевтин,Остапович,male,1992-05-29,Менеджер з продажу,село Щолкіне,"сквер Далекосхідна, буд. 93 кв. 36, Лиман , 86462",912 33 59,azhazhapanteleimon@example.net
Тичина,Маруся,Денисівна,female,2005-09-28,Офіс-менеджер,селище Берестечко,"сквер Спортивна, буд. 391 кв. 289, Хоростків, 45812",+380 80 656 98 26,hlib62@example.org
Забара,Ганна,Ігорівна,female,2004-07-10,Асистент керівника,хутір Калинівка ,"сквер Льва Симиренка, буд. 5 кв. 20, Заводське, 92479",051 325 44 32,iukhymdrobakha@example.net
Щорс,Борислав,Леонідович,male,1963-06-28,Програміст,хутір Лисичанськ,"набережна Штабний, буд. 351, Таврійськ, 70843",+380 (37) 381-84-93,petroshyian@example.org
Зарудний,Володимира,Зеновіївна,female,2000-09-11,Фінансовий аналітик,хутір Арциз,"шосе Центральна, буд. 8 кв. 72, Лубни, 22869",078 657-97-70,lesrak@example.com
Проценко,Назар,Данилович,male,1993-04-26,Тестувальник,хутір Южне,"набережна Тещин міст, буд. 5, Скадовськ, 91461",079 928 23 19,vivcharenkodavyd@example.net
Єщенко,Лілія,Григоріївна,female,1992-06-17,Дизайнер,селище Іллінці,"набережна Молокова, буд. 287 кв. 83, Чорноморськ, 76651",+380 32 736-98-62,fedir88@example.org
Чалий,Устим,Олександрович,male,2007-05-16,Менеджер з маркетингу,село Добропілля,"проспект Митракова, буд. 70 кв. 124, Баранівка, 78649",312 75 92,ielysei08@example.org
Христич,Захар,Данилович,male,1964-02-08,Менеджер з продажу,хутір Носівка,"провулок Чорноморський 8-й, буд. 74, Лубни, 71509",046 044-44-42,oleksa29@example.net
Асаула,Симон,Кирилович,male,1993-09-08,Системний адміністратор,село Броди,"узвіз Міцкевича, буд. 0 кв. 036, Фастів, 54562",+380 (85) 908-37-53,nbabak@example.net
Хоменко,Аліна,Данилівна,female,1958-03-11,Фінансовий аналітик,місто Костянтинівка,"узвіз Пересипська 1-ша, буд. 97 кв. 59, Червоносів, 83152",+380 21 100-14-61,arkadiihaidabura@example.com
Макогон,Михайлина,Денисівна,female,1951-07-03,Копірайтер,селище Первомайськ,"набережна Керченська, буд. 7, Новодружеськ, 80256",+380 38 249 50 89,holoborodkoiakiv@example.net
Перебийніс,Еріка,Андріївна,female,1954-10-16,Фінансовий аналітик,селище Полтава,"набережна Канатний, буд. 627 кв. 222, Лозова , 56879",061 345-22-36,wlazarenko@example.org
Лемешко,Соломія,Іванівна,female,1971-05-15,Програміст,місто Березань ,"сквер Літня, буд. 23 кв. 073, Мар'їнка, 01626",+380 79 554-51-78,halynapetliura@example.com
Пустовіт,Роксолана,Борисівна,female,1963-05-14,Бухгалтер,місто Підгайці,"провулок Сільська, буд. 8, Марганець , 54650",+380 34 024-96-52,oleksaishchenko@example.org
Гупало,Богдан,Тимофійович,male,1991-12-13,Менеджер з закупівель,село Хотин,"сквер Леваневського, буд. 5, Зеленодольськ, 58419",+380 55 489-23-76,hdashenko@example.com
Терещук,Володимира,Тарасівна,female,1946-03-14,Асистент керівника,село Алупка,"парк Чайковського, буд. 696 кв. 889, Калинівка , 02167",+380 63 454 32 53,rdanylenko@example.org
Кибкало,Володимира,Мар'янівна,female,1985-08-27,Тестувальник,хутір Бахмут,"узвіз Аграрна, буд. 541, Сквира, 59318",+380 47 564-55-49,deinekohlib@example.org
Ребрик,Оксенія,Петрівна,female,1950-04-16,Інженер з якості,місто Ізюм,"парк Аеропортівська, буд. 0 кв. 437, Красногорівка, 70020",488-63-48,oleksa85@example.com
Сич,Гордій,Володимирович,male,1983-11-07,Аналітик даних,село Васильків,"парк Академіка Корольова, буд. 9 кв. 9, Зеленодольськ, 74932",+380 34 181 50 40,fhohol@example.net
Бабʼяк,Вадим,Олегович,male,1983-05-17,Аудитор,хутір Сорокине,"сквер Водопровідний 3-й, буд. 3 кв. 378, Прип'ять , 73582",066 700 48 64,volodymyraiaremenko@example.org
Дубас,Сніжана,Давидівна,female,1970-06-20,Системний адміністратор,селище Ужгород,"провулок Просьолочна, буд. 81 кв. 254, Нове Давидково, 29965",025 048 20 49,iakovenkonazar@example.com
Дашкевич,Богдан,Остапович,male,1962-07-31,Архітектор,селище Чорноморськ,"узвіз Бузковий 1-й, буд. 0 кв. 440, Бучач, 73914",+380 84 937-40-78,iizhak@example.com
Петлюра,Єлисей,Геннадійович,male,1951-10-03,Тестувальник,селище Ічня,"провулок Ланжеронівська, буд. 517 кв. 61, Немирів, 62702",743 09 30,jdashenko@example.org
Верхола,Яків,Тарасович,male,1966-08-28,Копірайтер,селище Борзна,"узвіз Новий, буд. 91, Миколаївка , 98031",+380 (70) 668-05-49,boryslavhaidamaka@example.com
Карпа,Федір,Костянтинович,male,1966-06-12,HR-менеджер,селище Вараш,"сквер Гвоздична, буд. 7 кв. 55, Олевськ, 83484",095 309-58-80,charnyshtaras@example.com
Шухевич,Степан,Давидович,male,1985-09-07,Програміст,місто Щастя ,"шосе Овідіопольська, буд. 0, Соснівка , 87402",+380 08 944-49-69,liza06@example.org
Чміль,Ада,Назарівна,female,1959-11-24,Фінансовий аналітик,село Канів,"сквер Банний, буд. 89 кв. 3, Маріуполь, 53788",021 907-75-28,kzinchuk@example.org
Данильчук,Олександр,Олексійович,male,1956-12-01,Копірайтер,місто Карлівка,"провулок Утьосова, буд. 2, Борщів, 46392",053 697 12 55,hannaonishchuk@example.org
Валенко,Руслан,Максимович,male,2003-12-13,Архітектор,село Старобільськ,"шосе Новгородська, буд. 6 кв. 0, Вашківці, 34474",+380 38 453-78-17,rkashchenko@example.org
Адаменко,Василь,Ігорович,male,1997-10-12,Системний адміністратор,село Боково-Хрустальне,"сквер Лінія 32-га, буд. 034 кв. 888, Мирноград, 08208",+380 95 804-26-29,trokhym55@example.net
Дурдинець,Кирило,Тарасович,male,1983-08-02,Бухгалтер,селище Костянтинівка,"вулиця Балтський 1-й, буд. 42 кв. 14, Севастополь, 09862",090 386 85 89,romanenkomarusia@example.net
Дашенко,Ярема,Остапович,male,2005-10-08,Архітектор,селище Кам'янське,"парк Мінська, буд. 1 кв. 62, Жовті Води, 85748",749 72 85,cdashkevych@example.org
Дзюба,Миколай,Васильович,male,1998-07-14,Менеджер з маркетингу,хутір Шумськ,"сквер Вертелецького, буд. 3, Ходорів, 28460",073 490 41 95,zilchenko@example.com
Доценко,Спас,Юрійович,male,1938-03-27,Аудитор,місто Радехів,"парк Басейний 2-й, буд. 6, Комарно, 12054",031 072-91-05,danylo80@example.net
Полтавець,Леон,Романович,male,2003-10-31,Програміст,місто Новогродівка,"провулок Восьмого березня узвіз, буд. 414 кв. 85, Лебедин, 32955",+380 43 885-00-30,petrenkoedyta@example.com
Дергач,Юхим,Остапович,male,1977-08-09,Бухгалтер,місто Южноукраїнськ,"парк Марії Демченко, буд. 69, Ржищів, 09750",+380 51 870-90-00,solomiiaoliinyk@example.org
Теличенко,Софія,Марківна,female,1986-03-24,Тестувальник,хутір Герца,"узвіз Гвоздичний, буд. 2 кв. 8, Радомишль, 13629",772 05 77,albert90@example.org
Авдєєнко,Розалія,Василівна,female,2000-12-17,Менеджер з продукту,село Болехів,"сквер Тракторна, буд. 066, Кодима, 12277",034 155 60 93,kgerus@example.com
Девдюк,Амалія,Романівна,female,1980-02-12,Менеджер з продажу,село Євпаторія,"сквер Бузковий 1-й, буд. 8 кв. 294, Авдіївка, 29955",060 688-99-39,danylobatih@example.com
Верховинець,Святослава,Зеновіївна,female,1980-09-28,Копірайтер,місто Чернівці,"набережна Амурський 4-й, буд. 345, Ланівці, 16122",019 294 64 12,dnosachenko@example.com
Жук,Любов,Максимівна,female,1948-10-03,Менеджер з продукту,місто Долинська,"проспект Мічуріна, буд. 2 кв. 785, Кривий Ріг, 99142",+380 88 799-30-77,korpaniukfedir@example.com
Скопенко,Олена,Тимофіївна,female,1940-05-21,Копірайтер,селище Турка,"сквер Дача Ковалевського, буд. 8 кв. 44, Селидове, 03410",022 497 09 25,pavlychenkopanas@example.net
Гаврилець,Василь,Петрович,male,1958-11-24,Дизайнер,селище Городенка,"вулиця Суднобудівний, буд. 3 кв. 1, Керч, 53199",063 744 06 25,ekorbut@example.org
Корсун,Аніта,Назарівна,female,1972-08-15,Офіс-менеджер,село Новгород-Сіверський,"парк Восьмого березня 2-й, буд. 11, Городище , 87813",041 551 45 51,qdeisun@example.org
Талан,Зорян,Олексійович,male,1999-09-06,Тестувальник,хутір Долинська,"проспект Ползунова 1-й, буд. 10 кв. 9, Вашківці, 02820",099 074 91 15,odubas@example.net
Токар,Пріска,Павлівна,female,1980-07-03,Тестувальник,місто Хотин,"проспект Травневий 1-й, буд. 9 кв. 42, Рудки, 59614",066 293 37 64,stefan74@example.com
Гайворонський,Франц,Іванович,male,1955-01-09,Аудитор,селище Христинівка,"набережна Матеріальний 1-й, буд. 4, Косів, 37331",076 191-06-50,leopold81@example.com
Супруненко,Зиновій,Павлович,male,1970-11-16,Аналітик даних,хутір Ічня,"шосе Академіка Заболотного, буд. 579, Харків, 67637",+380 (49) 231-77-64,iesypenkovalerii@example.com
Саєнко,Тимофій,Ігорович,male,1942-11-09,Аудитор,хутір Новий Калинів,"сквер Вузький, буд. 63, Тиврів, 67989",009 850-21-16,lizashchyrytsia@example.net
Забіла,Алла,Леонідівна,female,1979-09-06,Системний адміністратор,місто Бахмач,"сквер Пiвденний, буд. 72, Шостка, 20676",064 129 90 99,varvarachumachenko@example.net
Сиротенко,Левко,Станіславович,male,1981-10-26,Бухгалтер,хутір Хмельницький,"шосе Одеський, буд. 53 кв. 01, Молодогвардійськ, 94252",095 430-64-58,ieroshenkokamilla@example.com
Чумак,Устим,Марківич,male,1975-12-27,Інженер з якості,місто Рава-Руська,"набережна Чорноморський 6-й, буд. 475 кв. 27, Черкаси, 93965",+380 46 867-45-64,anitastets@example.org
Скопенко,Алла,Олексіївна,female,1959-08-01,Інженер з якості,місто Соснівка ,"узвіз Інтернаціональний, буд. 782, Славута, 50976",055 095 63 28,lrudyk@example.com
Баранник,Андрій,Леонідович,male,1962-07-02,Інженер з якості,селище Іллінці,"проспект Хутірський, буд. 95, Амвросіївка, 54265",+380 67 529 26 77,venedyktkolisnychenko@example.org
Андрійчук,Оксана,Борисівна,female,1945-07-14,Кадровий менеджер,місто Середина-Буда,"площа Український 3-й, буд. 86, Кременець, 35469",+380 (41) 689-37-31,vadym04@example.com
Царенко,Микита,Андрійович,male,1959-03-09,PR-менеджер,місто Пустомити,"узвіз Польовий 1-й, буд. 1 кв. 2, Бурштин , 53640",+380 15 722-61-77,parmenderehus@example.com
